Location,Old code,New code,Average Public Transport Accessibility score (2014)
Lewisham - Bellingham,00AZGD,E05000437,3
Lewisham - Blackheath,00AZGE,E05000438,5
Lewisham - Brockley,00AZGF,E05000439,6
Lewisham - Catford South,00AZGG,E05000440,3
Lewisham - Crofton Park,00AZGH,E05000441,4
Lewisham - Downham,00AZGJ,E05000442,3
Lewisham - Evelyn,00AZGK,E05000443,3
Lewisham - Forest Hill,00AZGL,E05000444,4
Lewisham - Grove Park,00AZGM,E05000445,3
Lewisham - Ladywell,00AZGN,E05000446,5
Lewisham - Lee Green,00AZGP,E05000447,4
Lewisham - Lewisham Central,00AZGQ,E05000448,5
Lewisham - New Cross,00AZGR,E05000449,4
Lewisham - Perry Vale,00AZGS,E05000450,3
Lewisham - Rushey Green,00AZGT,E05000451,5
Lewisham - Sydenham,00AZGU,E05000452,4
Lewisham - Telegraph Hill,00AZGW,E05000453,5
Lewisham - Whitefoot,00AZGX,E05000454,3
Southwark - Brunswick Park,00BEGC,E05000534,4
Southwark - Camberwell Green,00BEGD,E05000535,6
Southwark - Cathedrals,00BEGE,E05000536,8
Southwark - Chaucer,00BEGF,E05000537,7
Southwark - College,00BEGG,E05000538,3
Southwark - East Dulwich,00BEGH,E05000539,4
Southwark - East Walworth,00BEGJ,E05000540,6
Southwark - Faraday,00BEGK,E05000541,5
Southwark - Grange,00BEGL,E05000542,5
Southwark - Livesey,00BEGM,E05000543,4
Southwark - Newington,00BEGN,E05000544,6
Southwark - Nunhead,00BEGP,E05000545,5
Southwark - Peckham,00BEGQ,E05000546,4
Southwark - Peckham Rye,00BEGR,E05000547,4
Southwark - Riverside,00BEGS,E05000548,4
Southwark - Rotherhithe,00BEGT,E05000549,5
Southwark - South Bermondsey,00BEGU,E05000550,4
Southwark - South Camberwell,00BEGW,E05000551,5
Southwark - Surrey Docks,00BEGX,E05000552,3
Southwark - The Lane,00BEGY,E05000553,6
Southwark - Village,00BEGZ,E05000554,4
Lewisham,00AZ,E09000023,4.1
London,H,E12000007,3.8