Ward No,WardName,Transport Access Scores,IMS Score
E05000438,Lewisham - Blackheath,4.9,9926
E05000439,Lewisham - Brockley,5.8,11980
E05000446,Lewisham - Ladywell,4.5,15503
E05000448,Lewisham - Lewisham Central,5.2,14491
E05000449,Lewisham - New Cross,4.4,11755
E05000453,Lewisham - Telegraph Hill,5.2,9108.666667
E05000536,Southwark - Cathedrals,8,15868
E05000537,Southwark - Chaucer,7.2,20279.5
1,Southwark - East Walworth,5.8,6476
2,Southwark - Grange,5.1,10514.25
3,Southwark - Livesey,4.3,7580.2
4,Southwark - South Bermondsey,3.7,10219.41667
5,Southwark - South Camberwell,4.6,18250.5
6,Southwark - The Lane,6,10348.71429